% Model:              3channel3D.mph
% Version:            COMSOL 5.3.0.316
% Date:               Mar 1 2023, 16:57
% Dimension:          3
% Nodes:              11626
% Expressions:        4
% Description:        Velocity field, x component, Velocity field, y component, Velocity field, z component, Pressure
% Length unit:        m
% X                       Y                        Z                        u (m/s) @ t=10           v (m/s) @ t=10           w (m/s) @ t=10           p (Pa) @ t=10
0.124379                  0.0851748                0.0909878                -0.0014934258586219165   5.189672438161166E-4     4.733845699970264E-4     13.218295576617354
0.181683                  0.096745                 0.0587717                -0.0022329076800485384   6.253049070482688E-4     2.2655115777885383E-4    13.218277586415773
0.11769                   0.131813                 0.0613778                -0.0013897457961324165   8.651811963776099E-4     3.1866016330509407E-4    13.218328959772007
0.136608                  0.152461                 0.041575                 -0.001418696620245477    9.366700996447924E-4     1.3583577989125921E-4    13.218308664036403
0.099443                  0.169692                 0.0982346                -0.001883588037545069    0.0017399258638985684    8.006562295034269E-4     13.218388693430866
0.146                     0.0425874                0.13167                  -0.0014158994215805742   2.09694730950798E-4      5.37182472588635E-4      13.21826461384073
0.152127                  0.0794807                0.129633                 -0.002781302589291497    7.341271657240263E-4     9.543873831061846E-4     13.218297983314024
0.107495                  0                        0.208716                 0                        0                        0                        13.218041051363446
0.105949                  0.136139                 0.128326                 -0.0022966211191503046   0.0015530999086173802    0.0011302883764351226    13.218433274507555
0.0737476                 0.108216                 0.158496                 -0.0011304980361084211   8.640960533128293E-4     0.0010480504438320941    13.218372797904678
0.0326836                 0.0851629                0.200054                 -2.2600141015735253E-4   2.2114633928749125E-4    6.255948019564079E-4     13.218468666719176
0.0483911                 0.0606864                0.239501                 -4.064646378291804E-4    2.149934376483914E-4     8.454106732674149E-4     13.218267952345656
0.127495                  0.0548329                0.195346                 -0.001803497616932686    4.928490410666746E-4     0.0012603861009305084    13.218186052027272
0.0653673                 0.0571733                0.19903                  -4.5355175852614707E-4   1.826475500088218E-4     8.170654376724175E-4     13.218329323750446
0.100621                  0.0815245                0.176921                 -0.001618409197570983    7.027257608682824E-4     0.0012598974376153245    13.218326729544481
0.108772                  0                        0.272186                 0                        0                        0                        13.217876263035881
0                         0.333333                 0                        0                        0                        0                        13.217951145148836
0                         0.3                      0.0579227                0                        0                        0                        13.21824931932384
0.0635893                 0.296026                 0.0453968                -2.8601812446318E-4      0.0010864525208129552    2.3337605063283805E-4    13.218189782531695
0.0579227                 0.3                      0                        0                        0                        0                        13.217856096746237
0.103595                  0.234906                 0.0340715                -8.519023856783546E-4    0.0011449827199770139    1.789978193810708E-4     13.218216488924305
0.109911                  0.200979                 0                        0                        0                        0                        13.218156671449785
0.204633                  0.0537298                0.0549489                -0.0015279157712351807   2.112377141583793E-4     1.5605008752257537E-4    13.21829363415802
0.266667                  0                        0                        0                        0                        0                        13.218252566687708
0.2355                    0.0554456                0                        0                        0                        0                        13.218359680836494
0.333333                  0                        0                        0                        0                        0                        13.218548907105458
0.3                       0                        0.0579227                0                        0                        0                        13.218504011258593
0.266791                  0.048314                 0.0633058                -0.0023325033874898914   1.997528191220133E-4     1.2680887607486324E-4    13.218408877283835
0.230452                  0.0417798                0.114019                 -0.0027418477830202844   2.1784259846018272E-4    5.206222793565613E-4     13.218314150439108
0.266524                  0                        0.113855                 0                        0                        0                        13.218289112627788
0.19438                   0.0835597                0.114183                 -0.0038345414344331764   7.861786600290058E-4     8.678200218252621E-4     13.218360288184293
0.204109                  0.0516953                0.148335                 -0.0032128486411027884   3.4899858106147107E-4    0.0010339364755597908    13.21824056495519
0.16762                   0                        0.172352                 0                        0                        0                        13.21804927674712
0.234404                  0                        0.1666                   0                        0                        0                        13.218082076384954
0.152379                  0.199188                 0.0490785                -0.00230012503683506     0.0017487190825882261    2.7344803691766047E-4    13.218224458340888
0.228169                  0.0949489                0.053806                 -0.002976959778747637    5.973952824194092E-4     2.2328192832441252E-4    13.218400924837484
0.173191                  0.135761                 0.0490785                -0.002411279831763249    0.0010041952866642917    2.2893140474825903E-4    13.218290826623436
0.208232                  0.10746                  0                        0                        0                        0                        13.218265343757885
0.172464                  0.167642                 0                        0                        0                        0                        13.218111985116648
0.4                       0                        0                        -1.3433169780736703E-18  -6.870178888655048E-20   -3.6986213856653725E-19  13.218893326787539
0.366667                  0                        0.0579227                0                        0                        0                        13.218700913387343
0                         0                        0.333333                 0                        0                        0                        13.21792931747886
0                         0.057077                 0.299817                 0                        0                        0                        13.218266431754875
0.0379809                 0.186792                 0.151766                 -4.773577145420596E-4    0.0013084157470699901    9.489670894999294E-4     13.218681662256406
0                         0.168073                 0.167246                 0                        0                        0                        13.219004183873938
0                         0.172728                 0.235522                 0                        0                        0                        13.218842773370646
0                         0.119028                 0.271587                 0                        0                        0                        13.218643141998767
0                         0                        0.4                      0                        0                        0                        13.217737537106123
0                         0.0579227                0.366667                 0                        0                        0                        13.218147774195645
0                         0.4                      0                        0                        0                        0                        13.21761884188648
0.0425835                 0.0540195                0.326329                 -1.9856021377111496E-4   2.3266501261623137E-4    9.118662472743839E-4     13.21801836482328
0.0330348                 0.0936046                0.313621                 -2.8056507983793177E-4   5.89108381195664E-4      0.0010549671281500444    13.218249684745677
0.0634368                 0.151871                 0.180464                 -0.0011657781616794933   0.0015290244868430445    0.0015648340809894393    13.218501967026665
0.0427497                 0.110811                 0.269363                 -5.265505460407059E-4    9.012016316207855E-4     0.0014324042167218871    13.218394651464566
0.0368738                 0.143537                 0.231152                 -5.126637409512008E-4    0.0012471182313479182    0.001404825024244961     13.21852384257511
0.0579227                 0                        0.366667                 0                        0                        0                        13.217612297160844
0.111867                  0                        0.336207                 0                        0                        0                        13.217436966642772
0.0579227                 0                        0.433333                 0                        0                        0                        13.21739371723878
0                         0.235035                 0.160511                 0                        0                        0                        13.218971076119145
0.0959036                 0.302404                 0.0408122                -8.250229326113224E-4    0.0015753485161975251    3.3704442233102236E-4    13.217963154211697
0.114254                  0.266567                 0                        0                        0                        0                        13.217926856902755
0.0929366                 0.203245                 0.0681429                -0.0013123486519370374   0.0016149178874417143    4.84658279331668E-4      13.218322422201037
0.127759                  0.238928                 0.0696988                -0.0023984161929233036   0.0025244476421652463    8.067810524938567E-4     13.218233808967502
0.0379809                 0.285737                 0.0697735                -1.8626663234816467E-4   0.0010678169163485314    3.425425837039391E-4     13.218255379518261
0                         0.268923                 0.111027                 0                        0                        0                        13.218665427039834
0.0326843                 0.280196                 0.149778                 -4.217008846459409E-4    0.0019472851329319484    0.0014114707370501448    13.21859505091135
0.0759618                 0.271475                 0.0816244                -0.0011656899743111588   0.0022531321395554806    9.306863013763181E-4     13.218192672635247
0.0759618                 0.205511                 0.136286                 -0.001689516644421686    0.0025367176604615955    0.0015471881288239276    13.218459712980351
0.0653685                 0.259449                 0.131486                 -0.0013917421966882992   0.0030080212476536116    0.0018306339811851662    13.218273638609515
0.0916769                 0.175237                 0.162904                 -0.0025292716100410754   0.0026362013212846546    0.002079915561021033     13.218448870245686
0.0476344                 0.226126                 0.169744                 -9.630690337658385E-4    0.0025043006045435455    0.001969530226609541     13.218528083377693
0.0660696                 0.0711092                0.294642                 -8.728873517674727E-4    6.19133672238957E-4      0.001578505578529708     13.218110332607013
0.0547218                 0.0688393                0.362402                 -4.229232399139215E-4    7.650707582230863E-4     0.0012925294647210164    13.218031497113119
0.0889681                 0.0355546                0.315425                 -5.134191165002647E-4    2.1572567705993665E-4    0.0010205640232951285    13.217818590496073
0.0967823                 0.0629711                0.244994                 -0.0012989961814059926   5.62266344293246E-4      0.0015651730440607602    13.21820044979209
0.119418                  0.0569665                0.283628                 -0.0018738449087487344   7.762492502207844E-4     0.0018717881863053473    13.21800773363594
0.053126                  0.195526                 0.202432                 -0.001138023087104104    0.0025394762980288144    0.0022755623821732597    13.218461883453132
0.147495                  0.109666                 0.181976                 -0.0041215423479293795   0.0016993403082863543    0.002129542304434546     13.218353246411626
0.166265                  0.123811                 0.10617                  -0.0038188559636992774   0.0014509234234411324    9.268576379207232E-4     13.218370919592735
0.215617                  0.122409                 0.0720495                -0.004330291026591473    0.0012320568857937969    4.457115471827749E-4     13.218409433123496
0.196789                  0.159499                 0.0834106                -0.004860073157161335    0.002094624988970578     7.517184986459834E-4     13.218368972474833
0.182992                  0.111502                 0.142077                 -0.005283799143693367    0.0015419120830252988    0.0015745575615528904    13.218404806521017
0.119917                  0.198604                 0.145345                 -0.003941110656488848    0.0034370826875261577    0.002301925731137021     13.218391123585018
0.137247                  0.150319                 0.16232                  -0.004545997875675156    0.002597302686869113     0.002207832162435063     13.218423379779688
0.138151                  0.164062                 0.098157                 -0.0032214669963748716   0.00199840068413033      9.527804922971001E-4     13.218371077818945
0.123399                  0.207631                 0.108282                 -0.0032673579411343916   0.0029059636719287645    0.0014042687492452073    13.21836615307452
0.177767                  0.0616108                0.182652                 -0.0033893509280083084   6.154310735632799E-4     0.0014795938929179867    13.218220262023584
0.154026                  0.0822494                0.21936                  -0.003751671908172542    0.0012344100897326825    0.0022646603183037054    13.218124812180207
0.170328                  0                        0.244398                 0                        0                        0                        13.217724445582379
0.174047                  0.0308054                0.213525                 -0.0018514228893501937   1.625601206531086E-4     9.957098302045045E-4     13.218013264361465
0.171694                  0                        0.305507                 0                        0                        0                        13.217422585794681
0.142053                  0.0509619                0.322262                 -0.002221957984424202    6.623878829393902E-4     0.0018265298746730498    13.217718259723833
0.160558                  0.0548329                0.256745                 -0.002710573974404146    6.388089842859626E-4     0.0018810238058507508    13.217964499033915
0.0886619                 0.125085                 0.201767                 -0.0020762941807936984   0.0016306196545126193    0.0020187907433261475    13.218415504327512
0.0854994                 0.102595                 0.267139                 -0.0019207762715622038   0.0015686982936139538    0.002370340978098132     13.218278999979361
0.0737476                 0.114347                 0.226781                 -0.0015260307195616653   0.0013948082209706177    0.0019262194623229571    13.218389070514988
0.113887                  0.098298                 0.223071                 -0.002682867431562134    0.001429644283946249     0.002198016531590295     13.218277241896175
0.106252                  0.174542                 0.195737                 -0.0037039516252665543   0.003495010389177266     0.00310654789475128      13.218356309244076
0.174805                  0.0462416                0.294735                 -0.002789279697671075    4.778152855290386E-4     0.0018219193251055761    13.21773178019418
0.0602364                 0.339648                 0.0499814                -3.808781148856677E-4    0.0012482541609830043    3.742148860769941E-4     13.217820464589664
0                         0.333333                 0.115845                 0                        0                        0                        13.218438972460758
0                         0.366667                 0.0579227                0                        0                        0                        13.218065017334526
0.0579227                 0.366667                 0                        0                        0                        0                        13.21758235638384
0.0575058                 0.326518                 0.088334                 -6.571204273417948E-4    0.0020296332133122037    9.759014835061652E-4     13.218037496976182
0.17796                   0.196589                 0.0947718                -0.005147794008071716    0.002998932421086157     0.001130623369438679     13.218319497439483
0.0925506                 0.346026                 0.0453968                -8.555736975519947E-4    0.0016307774484563959    4.519775008196816E-4     13.21774283719227
0.100531                  0.315802                 0.0836592                -0.001947290467447108    0.00301711988134271      0.0014535305273089066    13.21802618654018
0.115845                  0.333333                 0                        0                        0                        0                        13.217548448014997
0.146356                  0.256666                 0.0316314                -0.001419254119148786    0.0014415492402778793    1.7774731744669566E-4    13.218038060011677
0.166607                  0.234313                 0                        0                        0                        0                        13.217881614221191
0.178458                  0.246765                 0.0632628                -0.0038674509125872078   0.0028057425372875807    6.6401770411459E-4       13.218145224156169
0.140249                  0.282908                 0.0795357                -0.0032761659406455486   0.0033596375985415314    0.0012901719119292978    13.218069767780609
0.171382                  0.299303                 0                        0                        0                        0                        13.217705261651654
0                         0.533333                 0                        0                        0                        0                        13.217462495892095
0                         0.466667                 0                        0                        0                        0                        13.217465718409407
0.0579227                 0.433333                 0                        0                        0                        0                        13.21738162083799
0.214704                  0.215514                 0                        0                        0                        0                        13.218110801791362
0.2696                    0.0783803                0.0316529                -0.0018544494986903117   2.9867072280011854E-4    3.4497947072728244E-5    13.218303485715893
0.3                       0.0579227                0                        0                        0                        0                        13.21840731107325
0.272409                  0.108447                 0                        0                        0                        0                        13.218320322061556
0.366667                  0.0579227                0                        0                        0                        0                        13.218918543921125
0.386547                  0.0594962                0.0405727                -0.003957691223916917    4.408564860097738E-4     3.1216236844929185E-4    13.219101400297843
0.231001                  0.163889                 0.105326                 -0.007708947724933818    0.002790139998079554     0.001293980039256041     13.218529719281285
0.335637                  0.0430952                0.0492477                -0.002518281820124962    1.5319633457967804E-4    1.4282270749797795E-4    13.218724382465696
0.333333                  0                        0.115845                 0                        0                        0                        13.218456189707583
0.258043                  0.109056                 0.0950204                -0.006584528141375336    0.0013733100185161391    8.051115306947358E-4     13.218574688944381
0.300249                  0.0966279                0.0686889                -0.006000598975794594    0.0010191653253823264    3.7532208036824237E-4    13.218571767312577
0.317247                  0.0420338                0.0879296                -0.0039247818721386656   2.3660855840095844E-4    4.621476068105861E-4     13.218639653332298
0.265586                  0.0651293                0.100342                 -0.00468954168518074     5.677484781854948E-4     6.539882677111663E-4     13.218531857405171
0.356428                  0.0610697                0.110107                 -0.007942945244607248    7.249054789099628E-4     0.0011802445905038292    13.218826168636056
0.142019                  0.126619                 0.218581                 -0.004897942032171123    0.002582539264437978     0.003003488087178044     13.218285731460032
0.239857                  0.122917                 0.134168                 -0.008184816023259402    0.0020942907391571725    0.0016587124126043148    13.218519266438728
0.179919                  0.109666                 0.21164                  -0.0061353862002444986   0.002153678289008419     0.0028253623916710247    13.21828252269476
0.199719                  0.0991942                0.177983                 -0.006266660000949865    0.0016023353164067418    0.002095193321858824     13.21835803397904
0.26438                   0.0819446                0.137378                 -0.00709243453081694     0.0010511487477517776    0.0014092703989725954    13.21850477016306
0.298857                  0.0409723                0.126612                 -0.004423773803516213    3.093022290662913E-4     7.583797726536419E-4     13.218509851787628
0.297759                  0                        0.169429                 0                        0                        0                        13.218198812036526
0.262899                  0.0341944                0.169694                 -0.0035046450418321075   2.234167729522988E-4     9.241360280068173E-4     13.218310253123454
0.228038                  0.0683888                0.169958                 -0.0054241256505380775   8.337775143114347E-4     0.0016164498833621       13.218325229648952
0.221851                  0.0341944                0.192415                 -0.0028669216532850057   1.9043190686278988E-4    0.0010396278856746178    13.218085720424037
0.215663                  0                        0.214873                 0                        0                        0                        13.217822553770848
0.241979                  0.0384258                0.261062                 -0.003807591032723585    3.084794104721393E-4     0.0015585375696372807    13.21790604946516
0.269596                  0                        0.216237                 0                        0                        0                        13.217944913769358
0.366667                  0                        0.173768                 0                        0                        0                        13.21830207748837
0.222852                  0.189701                 0.0526631                -0.004119512167967745    0.0018412223272268105    3.6793149502241536E-4    13.218335215163464
0.251705                  0.136168                 0.0526631                -0.004286709948377846    0.0011101268479349119    2.7409272210256847E-4    13.218493177241161
0.243074                  0.171505                 0                        0                        0                        0                        13.218302966620456
0.302416                  0.134098                 0.0343445                -0.0037564801466237747   8.9412690075477E-4       9.296106027533361E-5     13.218522976007277
0.292028                  0.145779                 0.0648122                -0.006932668795819865    0.0019212476831113722    4.223271429509696E-4     13.2186096428795
0.371273                  0.0861905                0.0405727                -0.004651654532767402    7.922225204476431E-4     2.7911263795545006E-4    13.21910035394881
0.433333                  0.0577366                0                        0                        0                        0                        13.219478405422539
0.466667                  0                        0                        0                        0                        0                        13.219688510497434
0.433333                  0                        0.0579227                0                        0                        0                        13.219388446824862
0.373157                  0.0852267                0.083837                 -0.00919035717681241     0.0013324434320436916    9.104914681698983E-4     13.219118942123675
0.406428                  0.0610697                0.0811455                -0.008386989809106543    9.908949632749925E-4     8.461236723668746E-4     13.219343992072066
0.419881                  0.0594031                0.0405727                -0.004504998971768741    4.358420599557271E-4     2.1154375705797145E-4    13.219346999315984
0.533333                  0                        0                        0                        0                        0                        13.221370105234266
0.5                       0                        0.0579227                0                        0                        0                        13.220311271037026
0.4                       0                        0.115845                 0                        0                        0                        13.218844433720767
0.433333                  0                        0.173768                 0                        0                        0                        13.218675109148974
0.466667                  0                        0.115845                 0                        0                        0                        13.219672583479873
0.6                       0                        0                        0                        0                        0                        13.224065132223407
0.566667                  0                        0.0579227                0                        0                        0                        13.223175372848605
0.0334301                 0.0418295                0.399238                 -2.8807326070422847E-5   1.14016192096845E-4      5.398882953715281E-4     13.217834374637606
0                         0                        0.466667                 0                        0                        0                        13.217560617487063
0.0882598                 0.0463957                0.392707                 -7.997690803195699E-4    5.853181805284589E-4     0.0010683234919258617    13.21758108249691
0.0456764                 0.0498761                0.432952                 -2.291612109755484E-4    3.77128749599686E-4      5.167918394341359E-4     13.217740765976325
0.0691805                 0.0466848                0.466661                 -4.5446328383121683E-4   4.8753956109074304E-4    3.313468940295542E-4     13.217474357980759
0                         0.1161                   0.332601                 0                        0                        0                        13.218441030468753
0                         0                        0.533333                 0                        0                        0                        13.217572992867336
0.0579227                 0                        0.5                      0                        0                        0                        13.217283459740427
0                         0                        0.6                      0                        0                        0                        13.217835483835023
0                         0.21651                  0.209127                 0                        0                        0                        13.21882730570311
0.0318356                 0.199832                 0.252656                 -5.865755551466148E-4    0.0025162786842448655    0.002125789941352403     13.218341850056534
0                         0.230791                 0.259454                 0                        0                        0                        13.218606563180558
0.0371083                 0.166288                 0.29779                  -6.386782407151861E-4    0.0023051463701932846    0.0020706133435039304    13.21831011621099
0.0373427                 0.143095                 0.342194                 -6.002357755251504E-4    0.002473991169220145     0.0019293792853810141    13.218101918598569
0                         0.190359                 0.306297                 0                        0                        0                        13.218516105633215
0                         0.0579227                0.433333                 0                        0                        0                        13.217889153662652
0                         0.113747                 0.400644                 0                        0                        0                        13.218096798853214
0                         0.171254                 0.371123                 0                        0                        0                        13.218336045245135
0.0402191                 0.07611                  0.466785                 -2.7454796536821217E-4   8.773424778083382E-4     3.174653484510157E-4     13.217767913012143
0                         0.0579227                0.5                      0                        0                        0                        13.21778827988037
0.0373585                 0.399165                 0.0539281                -1.8674397965936297E-4   7.771833900810968E-4     3.9791220769161E-4       13.217693543970958
0                         0.433333                 0.0579227                0                        0                        0                        13.21773481484379
0                         0.5                      0.0579227                0                        0                        0                        13.217739173639794
0                         0.566667                 0.0579227                0                        0                        0                        13.217744401453901
0                         0.6                      0                        3.3065179737375946E-20   2.4198445898273514E-19   -5.796868091823633E-20   13.217645938450305
0.0579227                 0                        0.566667                 0                        0                        0                        13.217435201917919
0                         0                        0.666667                 0                        0                        0                        13.21784264656694
0.0579227                 0                        0.7                      0                        0                        0                        13.217835749835503
0                         0                        0.733333                 0                        0                        0                        13.218275216997842
0.0540973                 0.489937                 0.0430504                -3.040250824511042E-4    1.0815134988355122E-4    4.494101618344458E-4     13.217424595232233
0.0357913                 0.521612                 0.0580421                -2.3036758036579626E-4   -1.998153126855849E-4    4.5376570732035416E-4    13.2175441650542
0.0562056                 0.109012                 0.335809                 -9.407334627458435E-4    0.0018651892844807295    0.0019513195231173946    13.21800960374749
0.0668602                 0.0836591                0.398475                 -9.982005670636734E-4    0.0016645553130135982    0.0014673678568224765    13.21781646717889
0.0851669                 0.0509619                0.352842                 -7.703304195277156E-4    6.066183875428232E-4     0.001331692504652575     13.217780749292416
0.126115                  0.0600702                0.360753                 -0.002169826487810791    0.0010627889972700184    0.00183462262268201      13.217649080090165
