% Model:              doublePipe.mph
% Version:            COMSOL 5.3.0.316
% Date:               Mar 1 2023, 11:17
% Dimension:          2
% Nodes:              1440
% Expressions:        3
% Description:        Velocity field, x component, Velocity field, y component, Pressure
% Length unit:        m
% X                       Y                        u (m/s)                  v (m/s)                  p (Pa)
0.869565                  0.791667                 0.6582366919561785       -0.17929934517157575     3.079259276748728
0.847826                  0.8125                   0.6272428235799282       -0.1508020504422083      3.187905455507425
0.826087                  0.833333                 0.6067071518602911       -0.11398955757258518     3.29318512181809
0.804348                  0.854167                 0.5250350408643562       -0.07810910349465684     3.3627527608013597
0.782609                  0.875                    0.4424599125152887       -0.04497708153281701     3.407840977278956
0.76087                   0.895833                 0.3300511241330999       -0.017746907938739856    3.4228915415943146
0.73913                   0.916667                 0.20789619951332028      -8.899692923836736E-4    3.4169594036192263
0.717391                  0.9375                   0.1116493028983546       0.008513960555807911     3.399414091262887
0.695652                  0.958333                 0.01380973933210676      0.00764283829614956      3.3708514617755228
0.652174                  1                        0                        0                        3.3143873592163158
0.673913                  0.979167                 -0.010246039694746158    0.002469996548817692     3.343657240929823
1.33333                   0.291667                 0.8366409029696661       0.0048934264327031496    0.05826318070043112
1.3125                    0.3125                   0.4184627248127537       -0.0038866275307106756   0.08615231757347537
1.29167                   0.333333                 6.6954035968249205E-6    -6.218604048970762E-8    0.14063339441711747
1                         0.625                    0                        0                        3.448922439944389
0.978261                  0.645833                 0.08965032137747508      -0.11917732917779332     3.432281743506605
0.956522                  0.666667                 0.23796615576488964      -0.1313000049287102      3.2832279108337703
0.934783                  0.6875                   0.36559682944520955      -0.13622769740548626     3.0358874227737727
0.913043                  0.708333                 0.45973686376514844      -0.1631054899474026      2.8962181892959693
0.891304                  0.729167                 0.5257530282459855       -0.17253061538864004     2.835924687481904
0.869565                  0.75                     0.5926407489923659       -0.17431300298202937     2.861549949285928
0.847826                  0.770833                 0.6275665465351703       -0.1647637358873932      2.924253954633095
0.826087                  0.791667                 0.6732847616658216       -0.14287572479076924     3.0293960299029705
0.804348                  0.8125                   0.6568090249802457       -0.11573814393742024     3.1308010622220195
0.782609                  0.833333                 0.6479674479713079       -0.08240313958071564     3.234340208040896
0.76087                   0.854167                 0.5640685922636138       -0.04998554594856356     3.308727570887084
0.73913                   0.875                    0.4775196484375349       -0.021276082841016022    3.357506251363124
0.717391                  0.895833                 0.35176897354750236      7.927746826323337E-4     3.3734929785001104
0.608696                  1                        0                        0                        3.2410345924720514
0.630435                  0.979167                 -0.021931516194977647    0.0029725072072248563    3.2754803161235593
0.695652                  0.916667                 0.2161487755545973       0.012403891824151539     3.365441072459639
0.673913                  0.9375                   0.10629035357374131      0.01625913083308469      3.3433712997803076
0.652174                  0.958333                 -0.0017071601986063379   0.011200060128666155     3.3093925527552996
1.33333                   0.25                     0.9859078252450204       -0.015582852829714174    0.0447892834930691
1.3125                    0.270833                 0.914138838278552        -0.011866426403817312    0.07922195018665283
1.29167                   0.291667                 0.8367368768272705       -0.011433585037183962    0.15283239168609716
1.27083                   0.3125                   0.4299751902800441       -0.0026886638928338784   0.18861159739757627
1.25                      0.333333                 6.808041322772919E-6     -7.244667451673912E-8    0.25405258937263553
