% Model:              doublePipe.mph
% Version:            COMSOL 5.3.0.316
% Date:               Feb 28 2023, 16:05
% Dimension:          2
% Nodes:              109
% Expressions:        3
% Description:        Velocity field, x component, Velocity field, y component, Pressure
% Length unit:        m
% X                       Y                        u (m/s)                  v (m/s)                  p (Pa)
-0.333333                 0.166667                 7.692991665302656E-6     -1.93851809655049E-8     228.63687653902986
-0.25                     0.25                     0.9982753968548952       -1.7165466713767926E-5   205.88423093058063
-0.333333                 0.333333                 7.692991792067003E-6     1.9385306636985796E-8    228.63626731292314
-0.166667                 0.166667                 7.745537586521137E-6     -3.1341570570343113E-11  181.90738313054592
0                         0                        0                        0                        113.49535968349723
-0.166667                 0.333333                 7.741849267142514E-6     -1.3667822062576469E-10  181.90082705817696
-0.0833333                0.25                     0.9985479598573269       -4.0552834835965243E-4   157.857799483615
0                         0.166667                 1.191741341030542E-5     -3.6755021827240335E-6   108.5794332787256
0.0832978                 0.0833333                0.04379429350554446      -0.03529161929338226     113.99190246720855
0.166556                  0                        0                        0                        115.61307702008
-0.333333                 0.666667                 7.692991793339357E-6     -1.9385306640187597E-8   228.63626731292302
0                         0.333333                 1.2222338177852767E-5    3.983220255375275E-6     109.3692003060968
0.0833231                 0.25                     0.5995226159749092       0.037631057532055555     119.73467825243122
0.166636                  0.166667                 0.28073040957809503      -0.04280175654334866     115.79880412193516
0.249945                  0.0833333                0.12910614427124492      -0.006681775573314385    115.16594083933441
0.333278                  0                        0                        0                        114.79876547552679
-0.25                     0.75                     0.9982753968548972       1.716546671361352E-5     205.88423093058066
-0.333333                 0.833333                 7.692991667172856E-6     1.9385180973388666E-8    228.63687653903457
-0.166667                 0.666667                 7.741849268431548E-6     1.3667822063763928E-10   181.900827058177
0                         0.5                      0                        0                        111.37414305956614
0.0833294                 0.416667                 0.06583528685544654      0.08546681802085641      112.5513223466246
0.166657                  0.333333                 0.30724035446900655      0.13373247963524837      115.24422662437324
0.249982                  0.25                     0.3159896320616968       0.044989044267669906     115.26243871914285
0.333309                  0.166667                 0.22703647856937254      0.011948294080497248     114.82116526434955
0.5                       0                        9.116180664517036E-18    -3.6076612919215126E-19  114.09187116271234
0.416647                  0.0833333                0.12398686159729541      0.0022970963765221245    114.44068220422912
-0.166667                 0.833333                 7.745537584603467E-6     3.134157056442717E-11    181.9073831305457
-0.0833333                0.75                     0.9985479598573284       4.055283483597396E-4     157.85779948361494
0                         1                        0                        0                        113.49535968349723
0                         0.666667                 1.2222338179884238E-5    -3.983220256037635E-6    109.36920030609093
0.0833291                 0.583333                 0.06583488076471788      -0.08546661827472195     112.55131407284641
0.166661                  0.5                      0.12204937291139584      4.401615883421436E-16    113.6209222749348
0.249993                  0.416667                 0.23144691844848742      0.05996277491219774      114.37835271627728
0.333326                  0.333333                 0.2870588994541683       0.04571544796687873      114.58850560147815
0.41666                   0.25                     0.2683364777349258       0.016852153288058138     114.40729514877059
0.666722                  0                        0                        0                        113.39353919843673
0.583355                  0.0833333                0.12369779846717675      -0.0021723726991284523   113.74786721194577
0.500002                  0.166667                 0.21082404426133172      2.9075130576978E-4       114.09455585168955
0                         0.833333                 1.1917413415263523E-5    3.6755021842533087E-6    108.57943327872553
0.0833225                 0.75                     0.5995247089031442       -0.037630903277964194    119.73472680066648
0.0832975                 0.916667                 0.0437936597852998       0.03529124217460366      113.99189590218558
0.166556                  1                        0                        0                        115.61307702008003
0.166656                  0.666667                 0.30724056806114414      -0.13373328201957682     115.24423176422061
0.249993                  0.583333                 0.23144691844848894      -0.059962774912197286    114.37835271627728
1.33333                   0.166667                 7.723285837925051E-6     -9.095025035372455E-7    60.07977631097056
0.33333                   0.5                      0.2551331655459274       6.566564405794214E-17    114.30398620341981
0.416666                  0.416667                 0.284895020351123        0.01482985277350721      114.26776105550627
0.833444                  0                        0                        0                        112.56733962632457
0.750057                  0.0833333                0.12894229612189123      0.006338579195837356     113.0238362531183
0.500004                  0.333333                 0.2871539193408322       6.016146389002477E-4     114.09756133063044
0.666695                  0.166667                 0.22616950653611173      -0.0118598112439983      113.37022176826834
0.583346                  0.25                     0.26794511055304826      -0.015914028529467057    113.78477338845309
0.166634                  0.833333                 0.2807312089018468       0.04280343922314324      115.79881766660635
0.249981                  0.75                     0.3159902516148394       -0.04498915353237882     115.2624470822447
0.249944                  0.916667                 0.129105602231928        0.006681923791254652     115.16594371501651
0.333278                  1                        0                        0                        114.79876547552685
0.333325                  0.666667                 0.28705892372657416      -0.04571579516388509     114.58850871380555
0.416667                  0.583333                 0.2848951630225855       -0.014829668374097734    114.26775923480791
0.916703                  0.0833333                0.044630260302661526     0.03567874497383574      114.14671538021649
1                         0                        0                        0                        114.64315845812315
1.25                      0.25                     1.0064601686923105       2.0173140079962127E-5    21.579541445871428
1.33333                   0.333333                 7.723413189156886E-6     9.095099831550343E-7     60.08043689347765
1.16667                   0.166667                 7.74499647303947E-6      1.5388405164678695E-10   45.656330712952894
0.500006                  0.5                      0.2897938175122519       -2.0917178193584053E-17  114.09973477097587
0.583342                  0.416667                 0.28554682853088575      -0.013999988880589613    113.93147802233935
0.833366                  0.166667                 0.279681359947285        0.0416462751824679       112.37675600535685
0.750022                  0.25                     0.31435085223073267      -0.0449868428554631      112.92795993320495
0.666681                  0.333333                 0.2870712778527159       -0.044671529667912865    113.60801732488177
0.333309                  0.833333                 0.22703647856937245      -0.011948294080497053    114.82116526434959
0.416661                  0.75                     0.26833638716782393      -0.016851960141424198    114.40729120281246
0.416647                  0.916667                 0.12398647156409248      -0.0022970807044442017   114.44068214729447
