% Model:              doublePipe.mph
% Version:            COMSOL 5.3.0.316
% Date:               Feb 28 2023, 17:37
% Dimension:          2
% Nodes:              256
% Expressions:        3
% Description:        Velocity field, x component, Velocity field, y component, Pressure
% Length unit:        m
% X                       Y                        u (m/s)                  v (m/s)                  p (Pa)
0.1875                    0.956862                 -0.04857271890500378     -0.015465017198317863    3.014948063016734
0.25                      1                        -7.020254905692233E-17   -3.362975851736038E-17   3.1156892353459527
0.125                     0.741313                 0.7549923336242096       0.08744659614104443      3.2649514109010376
0.1875                    0.692586                 0.2512330791346036       0.06116778950830788      3.3580809956793605
0.25                      0.643531                 -0.05300598444754499     0.08111226451410093      3.2984586058674745
0.3125                    0.59498                  -0.06644641478725637     0.0878664578107501       3.244410098174818
1                         0.0833333                0                        0                        3.647904723546312
0.9375                    0.126656                 0.17018215531886835      0.03500121847813264      3.5519563890607233
1.27778                   0.291667                 0.48275578305970107      -0.016495214017402737    0.4119245411526666
1.33333                   0.333333                 3.8620727886491515E-6    -1.3196825820797048E-7   0.2611362659506876
1.22222                   0.25                     0.9292945735206453       -0.017989751151443474    0.7118951232906165
1.11111                   0.166667                 3.1442297506230614E-6    8.136033089004011E-7     1.1932738548122699
1.16667                   0.208333                 0.47561645259247276      -0.0045319280199682035   0.9757395037038205
0.375                     0.547174                 -0.17072172126862897     0.04666445012395407      3.176956551346952
0.4375                    0.499454                 -0.2552422460518355      -2.1789632641729914E-4   3.0666317211622083
0.875                     0.171245                 0.434742844654659        0.17881529215825112      3.550101911494016
0.8125                    0.21709                  0.4380541122424196       0.16567639678379378      3.3500893989362117
0.5                       0.452227                 -0.32534496632912696     -0.02848764878871837     2.9137073137047707
0.5625                    0.405456                 -0.2011988378143722      -0.02663991817146994     2.814725071080861
0.75                      0.263953                 0.3710109618400308       0.14134450804161142      3.082927037556846
0.6875                    0.31125                  0.17405104488990222      0.07148704405269676      2.873740989689174
0.625                     0.358476                 -0.021290989421297583    0.01428182211166712      2.760445897847033
0.125                     0.828631                 0.3935630970105393       0.07995141761445415      2.9179378516888717
0.1875                    0.782676                 0.6256547394031626       0.15508653347842905      3.088240783941137
0.1875                    0.870291                 0.2150422328292301       0.05662850764517382      3.0108766381327707
0.25                      0.912889                 0.056620663957143116     0.04162470862925259      3.092584580301057
0.3125                    0.956189                 0.008181302083311111     0.011091003018651199     3.242806925106417
0.375                     1                        -1.1997665067559304E-17  1.9134156498598994E-17   3.385010336035901
0.25                      0.735675                 0.5632954079648941       0.11429364855393948      3.2873338740295526
0.3125                    0.688226                 0.1789199365053143       0.07037623977340263      3.236677734662562
0.375                     0.640841                 -0.022719913667004436    0.0928176621630421       3.1081797152430366
0.4375                    0.593676                 -0.1293237806073176      0.07298860983955445      3.000792679675067
1                         0.166667                 2.3636058979940696E-6    4.848449282508952E-7     3.285881580759341
1.05556                   0.208333                 0.39302785646263694      0.10169192865115231      2.0278010764431005
0.9375                    0.211597                 0.4434780518304091       0.20841556226646632      3.3168383640035217
1.22222                   0.333333                 3.73150499852321E-6      -2.8424428922753566E-7   0.6294250498535743
1.16667                   0.291667                 0.4664343002472988       -0.03552887206056093     1.0872166239252905
1.11111                   0.25                     0.8494402912863689       -0.009691062744547523    1.4596416556497895
0.5                       0.546676                 -0.27890437546430014     0.02802796421450704      2.908255539545411
0.5625                    0.499432                 -0.3316055953616812      -0.002554988390746223    2.8851382987487453
0.875                     0.258478                 0.3803591354575208       0.1782562436008328       3.47935738562549
0.8125                    0.307045                 0.26561981235633025      0.1643195344080176       3.2449362075117003
0.625                     0.452016                 -0.3618664505579162      -0.0034221214545252783   2.829870066094089
0.75                      0.355934                 0.04852101408784094      0.08968292849870312      2.987217078792025
0.6875                    0.404354                 -0.16987254778781738     0.02855131053837319      2.8922846574609253
0.25                      0.825084                 0.5541666315158559       0.15170803075985773      3.1231046717111197
0.3125                    0.779167                 0.5583277218407511       0.15677254459367104      3.1618053092326757
0.3125                    0.868223                 0.3972461964931226       0.1335667667437573       3.1978928991967543
0.375                     0.911868                 0.24278914176800473      0.0925271064809831       3.3538504433956757
0.4375                    0.95585                  0.12512496351861238      0.034339750780366204     3.5100799004322605
0.5                       1                        -7.127670605300649E-17   6.253278971466319E-17    3.5915548954586827
0.375                     0.732858                 0.40769823829101587      0.10243252945736067      3.1345985363990647
0.4375                    0.686424                 0.16235922178498086      0.06414206931781846      2.9823564934488545
0.5                       0.640013                 -0.005766607037070929    0.05021220333062057      2.8369338764005496
0.5625                    0.593544                 -0.15211871494459087     0.02321217417552925      2.8040010183391093
1                         0.25                     0.5909014744651245       0.12121123205587393      3.1308299207820856
1.11111                   0.333333                 3.533182831655881E-6     -1.889194248997844E-7    1.7101031836616543
0.9375                    0.297906                 0.2814427823832304       0.08966217931513534      3.5387610203801763
1.05556                   0.291667                 0.4416431020840449       -0.023613387844239917    2.5553364694051606
0.625                     0.546808                 -0.3175076783400966      -0.005682498760548267    2.8177728793264425
0.6875                    0.499426                 -0.3328535790263019      -0.007878434584354365    2.970364103638796
0.875                     0.349813                 0.17592002634140272      0.18096243549751995      3.5514031407866904
0.8125                    0.401218                 -0.06652994258228061     0.10766943020262038      3.2935843061526575
0.75                      0.450988                 -0.31054930112385476     0.027437258646246732     3.0897119434475955
0.375                     0.82305                  0.5933440985679864       0.14637836774801594      3.2469249293059823
0.4375                    0.77757                  0.48403668548294043      0.10089978840766019      3.0862955669017906
0.4375                    0.867209                 0.4678159032318242       0.11077786645784664      3.357426997660937
0.5                       0.911531                 0.34179186778432175      0.05283553157017648      3.530651733364678
0.5625                    0.955847                 0.19361321635127474      0.009226839900101319     3.5798207715688743
0.625                     1                        1.0363455815491532E-16   9.287102816964549E-17    3.5702745463135614
0.5                       0.731985                 0.34458250338405955      0.049733509807570804     2.9182618559455444
0.5625                    0.686366                 0.17159528759161866      0.009936293871734208     2.80382004134606
0.625                     0.640681                 0.02630401236134148      -0.01930653244774774     2.7557987391854333
0.6875                    0.594673                 -0.12471156672265295     -0.04067941572749557     2.8754129608194643
1                         0.333333                 2.363605897797259E-6     4.848449282105235E-7     3.6785555494190896
0.9375                    0.393932                 0.07892899257364551      0.10307885424807495      3.7578841400500314
0.75                      0.547892                 -0.27272206049478254     -0.04683445578939304     3.0680595830094193
0.875                     0.448138                 -0.12749920473628262     0.08085600123745684      3.661778952469853
0.8125                    0.499422                 -0.2426394824454904      -0.01629175537476569     3.4106202121974607
0.5                       0.822387                 0.5821033214608407       0.06785042536609559      3.2283342212671835
0.5625                    0.867198                 0.4734272560778401       0.022059383347812864     3.4105221893864357
0.5625                    0.777545                 0.45751168008622445      0.0081649943087281       3.0197656282390346
0.625                     0.911856                 0.36283196383502636      -0.015561604677885534    3.51755220512138
0.6875                    0.956182                 0.17294577364313085      -0.01526699070546775     3.550220843342889
0.75                      1                        3.5069589479015364E-16   -1.6790430039038694E-16  3.5439062066504663
0.625                     0.732787                 0.34884177601662475      -0.036361650017682864    2.8723182806172765
0.6875                    0.688089                 0.20763556816250184      -0.07477301307220316     2.884910002962312
0.75                      0.643311                 0.0837742860173135       -0.09695983405471932     2.983388389983235
0.8125                    0.597885                 -0.03632461197457254     -0.12018523798035756     3.275154371336486
1                         0.444444                 0                        0                        3.817747466742376
0.9375                    0.499702                 -0.053693516969277245    -0.00972697772000225     3.750194125029709
0.875                     0.550669                 -0.10852829726411448     -0.1080081758200666      3.6484803433204185
0.625                     0.82302                  0.5602155791288413       -0.03683662798236206     3.233082154409001
0.6875                    0.868197                 0.4380943800914366       -0.05982344989242294     3.4534077107541163
0.6875                    0.779106                 0.466589298571128        -0.09597124383465307     3.118130988577771
0.75                      0.912872                 0.29734885916538034      -0.05563372491920662     3.545594921722142
0.875                     1                        3.270782275547157E-16    1.7107753893783253E-16   3.620603175931206
0.8125                    0.956855                 0.09728836792837163      -0.0038068797833996646   3.5890767842484044
0.75                      0.735576                 0.3886769258410805       -0.14013443731792952     3.1051165547744817
0.8125                    0.69245                  0.2860588104605768       -0.16630678503774818     3.2497398022349437
0.875                     0.64967                  0.19502540799759271      -0.186951465173501       3.5467801798001024
1                         0.555556                 0                        0                        3.835085864180479
0.9375                    0.60564                  0.09150700159479304      -0.11315259883230598     3.7658286517099278
0.75                      0.82504                  0.5027608256891954       -0.1109418564133374      3.3822112703996847
0.8125                    0.782615                 0.4383465911245122       -0.1587011070212092      3.3654656087948998
0.8125                    0.870266                 0.3571192143945038       -0.11156082259069901     3.550515942553662
0.9375                    0.957804                 0.013567943491482168     -0.0015197684706083191   3.6365686070420065
1                         1                        0                        0                        3.64555861083198
0.875                     0.91455                  0.12265514544164079      -0.04596883995580256     3.6066834344589638
0.875                     0.741243                 0.38521891697822597      -0.17229681680498696     3.484854411699195
0.9375                    0.701895                 0.2850036580707241       -0.08613546863783886     3.540018109069916
1                         0.666667                 2.362988814680781E-6     -4.589513522195401E-7    3.6864500658345363
0.875                     0.828601                 0.42809420092290695      -0.17054164023569174     3.551000238127747
1                         0.916667                 0                        0                        3.641739365833193
0.9375                    0.873288                 0.1675779365634463       -0.03229604459645472     3.54928301052595
0.9375                    0.788294                 0.4399996140188531       -0.20126934988703465     3.320196461475321
1                         0.75                     0.5907472035876221       -0.11473783803884725     3.1349228131171585
1.05556                   0.708333                 0.44024107576234117      0.027208891258279227     2.546867921685637
1.11111                   0.666667                 3.521965491333361E-6     2.1768558270590506E-7    1.6919357332553588
1                         0.833333                 2.3629888154678115E-6    -4.5895135237240105E-7   3.287081286706653
1.05556                   0.791667                 0.39422549083837605      -0.09924318846930462     2.039833586806474
1.11111                   0.75                     0.8502491303837678       0.010284296191430743     1.4597292910685407
1.22222                   0.666667                 3.7341176755082234E-6    2.7767637504992276E-7    0.6312285417847515
1.16667                   0.708333                 0.46676088411832295      0.03470790300245169      1.0809088114644463
1.11111                   0.833333                 3.15381135855298E-6      -7.940119908086294E-7    1.2081144875459588
1.16667                   0.791667                 0.47615336812797615      0.0038866516471290783    0.9809937228772193
1.27778                   0.708333                 0.4833327466487083       0.01615990318049167      0.41558084360386227
1.33333                   0.666667                 3.866688599803545E-6     1.2928562423268985E-7    0.2664985767594328
1.22222                   0.75                     0.9300225430647094       0.016872901926377123     0.7117062881344467
1.22222                   0.833333                 3.809262055042912E-6     3.109156907459451E-8     0.7948097999824136
1.33333                   0.75                     1.00032146066493         -0.009587858576974785    0.2764989680752331
1.27778                   0.791667                 0.4913956451214434       -0.013010543633782179    0.5599294091058327
1.33333                   0.833333                 3.931194369242721E-6     -1.0408728526481688E-7   0.41356005923253664
