% Model:              doublePipe.mph
% Version:            COMSOL 5.3.0.316
% Date:               Mar 1 2023, 10:38
% Dimension:          2
% Nodes:              14976
% Expressions:        3
% Description:        Velocity field, x component, Velocity field, y component, Pressure
% Length unit:        m
% X                       Y                        u (m/s) @ t=10           v (m/s) @ t=10           p (Pa) @ t=10
1.33333                   0.833333                 6.373433139616549E-6     8.670279106022457E-8     0.138322926915208
1.33333                   0.820513                 0.26781877259560916      0.04531001914535192      0.02754145743172011
1.32692                   0.826923                 0.12257012478763293      0.0016638641065076212    0.08216853719621388
1.32051                   0.833333                 6.845084084315309E-6     -9.891077186920791E-8    0.06818623561307191
1.33333                   0.807692                 0.48252060155049425      0.03717142648876337      -0.010723826898038366
1.32692                   0.814103                 0.3745077948317014       0.01046163662277656      -0.009471668120414958
1.32051                   0.820513                 0.25582838857153706      -0.010959957100444274    0.04493475207032631
1.3141                    0.826923                 0.1316363551764741       -0.001900725611068644    0.06920728604019323
1.30769                   0.833333                 6.715806981355483E-6     3.741544453685384E-8     0.0925140749464324
1.33333                   0.794872                 0.659703862193242        0.031076779266584437     0.005290779336375976
1.32692                   0.801282                 0.5717309047140957       0.013687044107028175     0.0012840323783728938
1.32051                   0.807692                 0.4781512582731495       -8.90020634764141E-4     0.029266167384988807
1.3141                    0.814103                 0.3657156335630836       -4.7527210800353396E-4   0.0711946645942947
1.30769                   0.820513                 0.25619607087591456      0.0031247764776874644    0.09654967481274006
1.30128                   0.826923                 0.12915070494863862      7.195850683601113E-4     0.11275797427673936
1.29487                   0.833333                 6.618314800701066E-6     1.8527243960505106E-8    0.13419280996531951
1.33333                   0.782051                 0.7999477497476128       0.028602884041864098     0.009658580931914646
1.32692                   0.788462                 0.7291997309203168       0.017602340744300227     0.011697431022320836
1.32051                   0.794872                 0.6544277619217527       0.00872716776313202      0.03220185016008035
1.3141                    0.801282                 0.5631739572849325       0.007739187972155993     0.05651736989674724
1.30769                   0.807692                 0.4698483831359946       0.0064085672794485056    0.08800252239924856
1.30128                   0.814103                 0.36213771576458076      0.004067923916471044     0.1072713595819276
1.29487                   0.820513                 0.252397842379623        0.0017321891231701087    0.12961235472624846
1.28846                   0.826923                 0.12727602083698103      3.564995917017963E-4     0.14883964466991503
1.28205                   0.833333                 6.496488198810565E-6     2.54176327184404E-8      0.169975556390825
1.33333                   0.769231                 0.9019700780597665       0.026785710807300116     0.011415070900737082
1.32692                   0.775641                 0.8505074301046908       0.020233104634593196     0.016164749916515436
1.32051                   0.782051                 0.7960050706192241       0.014832290276314528     0.035304434331712556
1.3141                    0.788462                 0.7233288243691932       0.013900328375711795     0.05440305616453757
1.30769                   0.794872                 0.6484027556356351       0.012177286386440889     0.08078808237698376
1.30128                   0.801282                 0.55720673812132         0.009475896779322415     0.10244956959228227
