% Model:              3channel3D.mph
% Version:            COMSOL 5.3.0.316
% Date:               Mar 1 2023, 16:37
% Dimension:          3
% Nodes:              2069
% Expressions:        4
% Description:        Velocity field, x component, Velocity field, y component, Velocity field, z component, Pressure
% Length unit:        m
% X                       Y                        Z                        u (m/s) @ t=10           v (m/s) @ t=10           w (m/s) @ t=10           p (Pa) @ t=10
0.0623247                 0.243501                 0.0647061                -5.228082894171448E-4    0.0018713155685387954    3.750417023175156E-4     16.835601647127252
0.200755                  0.252471                 0                        0                        0                        0                        16.834521476420615
0.224926                  0.192384                 0.10765                  -0.011112501878864684    0.0047363357371806945    0.002076098482885411     16.835590763867273
0.124649                  0.237001                 0.129412                 -0.006192306881712073    0.005485653093827247     0.0031469052170981153    16.83534699841387
0                         0.319569                 0.0901723                0                        0                        0                        16.83629185825534
0.100285                  0.308794                 0                        0                        0                        0                        16.834423206372676
0                         0.375                    0                        0                        0                        0                        16.834928246758768
0.614171                  0.47679                  0                        0                        0                        0                        16.818967529844628
0                         0.5                      0                        0                        0                        0                        16.833593602052623
0                         0.204137                 0.382144                 0                        0                        0                        16.83500670065623
0                         0.292163                 0.210961                 0                        0                        0                        16.83563303227665
0                         0.279376                 0.314119                 0                        0                        0                        16.834888008657675
0                         0.291368                 0.387755                 0                        0                        0                        16.834140800855906
0                         0.353347                 0.359615                 0                        0                        0                        16.83165490708873
0                         0.201264                 0.493574                 0                        0                        0                        16.834739237675787
0                         0.268912                 0.440799                 0                        0                        0                        16.835285102766605
0                         0.440559                 0.0983504                0                        0                        0                        16.835423524838962
0                         0.3889                   0.192944                 0                        0                        0                        16.83597958652221
0.149237                  0.0559948                0.664948                 -0.003211098304201592    0.0012287527290236794    -0.0029547361597018346   16.835066643719195
0.0989127                 0                        0.686166                 0                        0                        0                        16.835150698687997
0                         0                        0.75                     -1.3704920888626956E-18  1.9602979400620357E-18   -2.8750096659010473E-18  16.836148097124035
0                         0                        0.875                    -1.825884679962865E-18   8.648914986791329E-19    -1.3064046986888055E-18  16.836384913526373
0.0868751                 0                        0.8077                   0                        0                        0                        16.835684494629074
0.079036                  0                        0.910045                 0                        0                        0                        16.836095748100846
0                         0                        1                        0                        0                        0                        16.8361311497169
0                         0.0974506                0.669354                 0                        0                        0                        16.83618454500434
0                         0.194624                 0.607535                 0                        0                        0                        16.836121365633428
0                         0.268581                 0.565303                 0                        0                        0                        16.83624896769409
0.737229                  0.486957                 0                        0.19892078358581894      0.22772477702535282      -1.6702842213602427      11.33469623515864
0.762101                  0.512206                 0                        -0.1871185438697157      -0.17549740088034413     -1.7620806832481068      10.48081181970784
0.733534                  0.515905                 0                        0.19080221288439614      -0.21296002253844531     -1.6668679881097392      10.328386759295237
0.387927                  0.20074                  0                        0                        0                        0                        16.836009929101234
0.439806                  0.105417                 0                        0                        0                        0                        16.837385304284695
0.499138                  0.201981                 0                        0                        0                        0                        16.836126712532618
0.556715                  0.101385                 0                        0                        0                        0                        16.838401282596145
0.5                       0                        0                        -5.552055508208441E-18   1.688981135564128E-18    5.555087227396075E-19    16.834138541171942
0.311579                  0.0632789                0.161419                 -0.011191413425490668    8.260342801754359E-4     0.0023212799608190306    16.835870909218386
0.374994                  0.0632789                0.0635709                -0.007384497430370675    1.8745294893096815E-4    2.3162031395240214E-4    16.836656627089756
0.4375                    0                        0.111068                 0                        0                        0                        16.83776032569091
0                         0.363086                 0.282951                 0                        0                        0                        16.831033609847005
0                         0.431676                 0.269299                 0                        0                        0                        16.834091999373147
0.187085                  0                        0.742326                 0                        0                        0                        16.83475516461238
0.684367                  0.358094                 0                        0                        0                        0                        16.822603182180902
0.634814                  0.353411                 0                        0                        0                        0                        16.827044403948054
0.630835                  0.406503                 0                        0                        0                        0                        16.819630211251297
0.670915                  0.393114                 0                        0                        0                        0                        16.81213806889806
0.713726                  0.415781                 0                        0                        0                        0                        16.729045645623057
0.716261                  0.380899                 0                        0                        0                        0                        16.79962185136745
0.755316                  0.404297                 0                        0                        0                        0                        16.725733261972554
0.781294                  0.430426                 0                        0                        0                        0                        16.593430443010238
0.687707                  0.389603                 0.0256345                -0.013312493428619433    0.0375669995223985       -0.00398885054530382     16.80937728350133
0.7                       0.5                      0                        -7.535941269011462E-16   -7.072031986609627E-16   2.138932037409778E-15    16.102316079368574
0.714645                  0.464645                 0                        2.9448209874987984E-6    3.3712843978579506E-6    -2.472639084924291E-5    16.10070512873584
0.702846                  0.442878                 0.0256345                0.022757488908540402     0.09538067612338626      0.00221978678636388      16.616345255495236
0.670726                  0.430184                 0                        0                        0                        0                        16.758937995869406
0.661132                  0.470087                 0                        0                        0                        0                        16.72066676858855
0.63451                   0.443648                 0                        0                        0                        0                        16.804693094094848
0.0869575                 0.0795318                0.561279                 -0.001867615176227417    0.0017781247928475886    -0.0018421069804466681   16.83452833241394
