300	2
0.0111271	116.194	
0.00941587	123.308	
0.00834833	145.727	
0.00722372	169.992	
0.0077101	175.089	
0.00837081	140.907	
0.00842305	124.703	
0.00839193	117.78	
0.00836614	113.52	
0.00833241	110.739	
0.00830974	108.852	
0.00828863	107.868	
0.00826782	106.833	
0.00825283	106.053	
0.00823852	105.202	
0.00822733	104.82	
0.0082199	104.148	
0.0082063	103.401	
0.00819864	103.313	
0.0081915	103.174	
0.00818982	102.932	
0.00818534	102.8	
0.00818046	102.555	
0.00817604	102.495	
0.00816509	101.983	
0.00816925	102.186	
0.00797041	113.31	
0.00816198	102.177	
0.00816054	102.018	
0.00815498	101.859	
0.0079594	113.031	
0.00814929	101.862	
0.00814952	101.793	
0.00814579	101.605	
0.00814488	101.404	
0.00794922	112.619	
0.00791968	124.167	
0.00793759	112.767	
0.00812893	101.421	
0.00793306	112.513	
0.00792465	112.469	
0.00788277	123.281	
0.00810763	101.465	
0.007873	123.58	
0.00790666	112.476	
0.00809816	101.537	
0.00810154	101.718	
0.00809921	101.605	
0.00790054	112.487	
0.00809105	101.757	
0.00808652	101.403	
0.00809003	101.798	
0.00808597	101.802	
0.00808223	101.721	
0.00808473	101.874	
0.00784469	123.656	
0.00807559	101.827	
0.00807277	101.571	
0.00806952	101.482	
0.0080701	101.513	
0.00807193	101.801	
0.00807136	101.835	
0.00806724	101.579	
0.00806389	101.538	
0.00806975	101.714	
0.00787264	112.456	
0.00806909	101.977	
0.00806419	101.697	
0.00806551	101.851	
0.00805953	101.682	
0.00806351	101.963	
0.0080559	101.755	
0.00805355	101.794	
0.00805347	101.886	
0.0078203	123.575	
0.00805406	102.111	
0.0080495	101.769	
0.00805169	101.893	
0.00804902	101.828	
0.00805265	101.87	
0.00805083	102.057	
0.00785173	112.53	
0.00785362	112.53	
0.00804688	102.113	
0.00804689	102.015	
0.00804742	101.976	
0.0078045	123.217	
0.0080385	101.882	
0.00803773	101.573	
0.00785283	112.657	
0.00785129	112.627	
0.00804113	101.959	
0.00804489	102.185	
0.00781669	124.359	
0.00803584	101.792	
0.00784731	112.66	
0.00784576	112.691	
0.00780746	123.921	
0.00779879	123.423	
0.00803102	102.023	
0.00782122	124.843	
0.00802607	101.875	
0.00784118	112.684	
0.0078223	125.189	
0.00802621	101.949	
0.00783587	112.731	
0.00783222	112.791	
0.00783566	112.875	
0.00780728	124.635	
0.00780351	124.366	
0.00782875	112.762	
0.00783038	112.848	
0.00779415	123.466	
0.00782781	112.74	
0.00777831	122.905	
0.0078268	112.691	
0.00778689	123.353	
0.00782732	112.934	
0.00801334	102.101	
0.00782462	112.956	
0.00779394	123.854	
0.00782233	112.914	
0.0078212	112.907	
0.00781888	112.933	
0.00776595	122.668	
0.00781513	113.023	
0.00777694	123.484	
0.00781253	113.168	
0.0080013	102.474	
0.00781072	113.032	
0.00780725	113.068	
0.00799478	102.422	
0.00781063	113.183	
0.00799831	102.63	
0.00799397	102.403	
0.00776822	124.048	
0.00780432	113.286	
0.00798928	102.406	
0.00798965	102.48	
0.00809277	102.409	
0.00799072	102.454	
0.00780334	113.209	
0.00776466	124.575	
0.00779902	113.586	
0.00779728	113.644	
0.00776225	124.839	
0.00776787	125.127	
0.00779384	113.703	
0.00779326	113.522	
0.00779116	113.583	
0.00778986	113.461	
0.00779089	113.466	
0.00797945	102.985	
0.00775898	124.997	
0.00797742	102.98	
0.00797715	102.841	
0.00779424	113.582	
0.00797695	102.891	
0.00798307	102.969	
0.00779301	113.594	
0.00775155	124.446	
0.00779005	113.697	
0.00779322	113.701	
0.00778744	113.577	
0.00778741	113.75	
0.00778166	126.391	
0.00778298	113.667	
0.00775762	125.3	
0.00776408	125.685	
0.00778371	113.786	
0.00778091	113.538	
0.00797372	103.214	
0.00797379	103.14	
0.00777034	125.948	
0.00774854	124.949	
0.00774383	124.656	
0.00796735	103.235	
0.00774147	124.411	
0.00777777	113.531	
0.0077569	124.764	
0.00773905	124.04	
0.00796345	103.074	
0.00796948	103.195	
0.00797241	103.234	
0.00796478	102.883	
0.00777773	113.472	
0.00796557	103.206	
0.00796634	103.244	
0.00796475	103.225	
0.00796356	103.061	
0.00777522	113.662	
0.00777348	113.852	
0.00776936	113.718	
0.00796051	103.399	
0.00777044	113.613	
0.00795668	103.31	
0.00796457	103.519	
0.00795778	103.401	
0.00777327	113.821	
0.0077568	126.118	
0.00772017	124.229	
0.00772405	124.596	
0.00776282	126.673	
0.00795187	103.333	
0.00776045	125.842	
0.00776536	113.838	
0.00776451	113.841	
0.00776181	113.791	
0.00795015	103.373	
0.00776815	113.899	
0.00776745	113.869	
0.00794904	103.279	
0.00772098	124.59	
0.00773659	125.699	
