50	4
15.3773	12.8153	22.557	70.374	
17.8361	13.9528	23.4764	78.0699	
17.7828	15.3139	25.189	86.6024	
17.988	16.81	27.1746	95.6315	
17.4723	18.4687	29.4368	105.413	
17.0926	20.2438	31.8523	115.609	
16.6973	22.1243	34.4001	126.075	
16.3486	24.1258	37.1393	136.832	
16.5332	26.224	40.0282	148.163	
16.1923	28.4304	43.1849	160.646	
15.7307	30.8312	46.6041	173.834	
15.8777	33.4301	50.2407	187.646	
15.6413	36.2371	54.0688	202.263	
15.8309	39.1374	58.001	217.586	
16.3339	42.1516	62.1839	233.233	
15.8726	45.3741	66.8047	250.215	
16.3206	48.7854	71.7195	268.071	
16.8195	52.5456	76.9612	287.175	
16.8893	56.5345	82.5178	307.753	
17.1281	60.5589	88.3294	329.431	
17.5784	64.797	94.6216	352.482	
17.7911	69.2043	101.276	377.231	
17.7643	73.8917	108.401	403.553	
18.2941	78.7526	115.86	430.383	
19.3251	83.907	123.535	457.827	
20.9659	89.0573	131.244	486.046	
21.7281	94.3488	139.353	516.321	
21.8948	100.141	148.11	548.112	
21.7135	105.925	157.055	580.088	
21.7441	111.705	166.231	612.524	
23.1638	117.502	175.35	645.175	
24.6068	122.962	183.959	676.507	
25.3744	127.837	192.049	706.853	
26.218	133.38	200.672	738.838	
27.0486	139.362	209.612	771.821	
28.269	145.426	218.694	805.017	
29.2643	151.013	227.297	837.211	
30.0713	156.234	235.802	869.47	
31.5758	162.297	245.162	904.511	
32.5742	168.403	254.797	940.393	
22.8442	173.841	263.988	974.604	
21.6071	175.564	264.23	968.225	
20.8578	176.201	263.849	962.823	
20.1217	176.572	263.868	960.333	
19.6013	177.065	264.263	959.665	
19.2199	177.224	264.486	959.07	
18.9296	177.088	264.482	958.13	
18.809	176.962	264.506	957.654	
18.7201	176.867	264.529	957.432	
18.7094	176.836	264.593	957.42	
