10968 7
0 1760
199 8171 8190 
184 8189 8171 
210 8190 8189 
8171 8189 8190 
99 8183 8192 
208 8191 8183 
211 8192 8191 
8183 8191 8192 
99 8192 8164 
211 8193 8192 
179 8164 8193 
8192 8193 8164 
211 8194 8193 
212 8195 8194 
179 8193 8195 
8194 8195 8193 
183 8166 8196 
179 8195 8166 
212 8196 8195 
8166 8195 8196 
183 8196 8198 
212 8197 8196 
213 8198 8197 
8196 8197 8198 
183 8198 8167 
213 8199 8198 
178 8167 8199 
8198 8199 8167 
209 8187 8201 
178 8200 8187 
214 8201 8200 
8187 8200 8201 
210 8188 8202 
209 8201 8188 
214 8202 8201 
8188 8201 8202 
213 8203 8199 
214 8200 8203 
178 8199 8200 
8203 8200 8199 
215 8204 8205 
210 8202 8204 
214 8205 8202 
8204 8202 8205 
286 8206 8207 
167 8158 8206 
125 8207 8158 
8206 8158 8207 
286 8207 8209 
125 8208 8207 
287 8209 8208 
8207 8208 8209 
287 8208 8210 
125 8145 8208 
127 8210 8145 
8208 8145 8210 
127 8211 8210 
288 8212 8211 
287 8210 8212 
8211 8212 8210 
126 8213 8146 
288 8211 8213 
127 8146 8211 
8213 8211 8146 
126 8175 8213 
201 8214 8175 
288 8213 8214 
8175 8214 8213 
133 8215 8152 
293 8216 8215 
131 8152 8216 
8215 8216 8152 
133 8217 8215 
294 8218 8217 
293 8215 8218 
8217 8218 8215 
133 8155 8217 
132 8219 8155 
294 8217 8219 
8155 8219 8217 
294 8219 8220 
132 8157 8219 
167 8220 8157 
8219 8157 8220 
167 8221 8220 
356 8222 8221 
294 8220 8222 
8221 8222 8220 
167 8206 8221 
286 8223 8206 
356 8221 8223 
8206 8223 8221 
210 8224 8190 
374 8225 8224 
199 8190 8225 
8224 8225 8190 
203 8176 8226 
199 8225 8176 
374 8226 8225 
8176 8225 8226 
215 8227 8204 
374 8224 8227 
210 8204 8224 
8227 8224 8204 
203 8226 8229 
374 8228 8226 
204 8229 8228 
8226 8228 8229 
215 8230 8227 
389 8231 8230 
374 8227 8231 
8230 8231 8227 
203 8232 8178 
396 8233 8232 
201 8178 8233 
8232 8233 8178 
396 8232 8234 
203 8229 8232 
204 8234 8229 
8232 8229 8234 
204 8235 8234 
398 8236 8235 
396 8234 8236 
8235 8236 8234 
201 8237 8214 
399 8238 8237 
288 8214 8238 
8237 8238 8214 
399 8237 8239 
201 8233 8237 
396 8239 8233 
8237 8233 8239 
396 8240 8239 
400 8241 8240 
399 8239 8241 
8240 8241 8239 
400 8240 8242 
396 8236 8240 
398 8242 8236 
8240 8236 8242 
204 8228 8244 
374 8243 8228 
407 8244 8243 
8228 8243 8244 
389 8245 8231 
407 8243 8245 
374 8231 8243 
8245 8243 8231 
398 8235 8247 
204 8246 8235 
408 8247 8246 
8235 8246 8247 
407 8248 8244 
408 8246 8248 
204 8244 8246 
8248 8246 8244 
410 8249 8250 
208 8182 8249 
205 8250 8182 
8249 8182 8250 
208 8249 8252 
410 8251 8249 
413 8252 8251 
8249 8251 8252 
413 8253 8252 
211 8191 8253 
208 8252 8191 
8253 8191 8252 
410 8254 8251 
414 8255 8254 
413 8251 8255 
8254 8255 8251 
417 8256 8257 
214 8203 8256 
213 8257 8203 
8256 8203 8257 
211 8253 8259 
413 8258 8253 
421 8259 8258 
8253 8258 8259 
421 8260 8259 
212 8194 8260 
211 8259 8194 
8260 8194 8259 
212 8260 8262 
421 8261 8260 
423 8262 8261 
8260 8261 8262 
213 8197 8263 
212 8262 8197 
423 8263 8262 
8197 8262 8263 
423 8264 8263 
417 8257 8264 
213 8263 8257 
8264 8257 8263 
417 8264 8266 
423 8265 8264 
427 8266 8265 
8264 8265 8266 
215 8267 8230 
430 8268 8267 
389 8230 8268 
8267 8268 8230 
215 8205 8267 
214 8269 8205 
430 8267 8269 
8205 8269 8267 
417 8270 8256 
430 8269 8270 
214 8256 8269 
8270 8269 8256 
389 8268 8272 
430 8271 8268 
431 8272 8271 
8268 8271 8272 
427 8273 8266 
432 8274 8273 
417 8266 8274 
8273 8274 8266 
430 8270 8275 
417 8274 8270 
432 8275 8274 
8270 8274 8275 
432 8276 8275 
431 8271 8276 
430 8275 8271 
8276 8271 8275 
414 8277 8279 
420 8278 8277 
433 8279 8278 
8277 8278 8279 
413 8255 8280 
414 8279 8255 
433 8280 8279 
8255 8279 8280 
413 8280 8258 
433 8281 8280 
421 8258 8281 
8280 8281 8258 
421 8281 8283 
433 8282 8281 
435 8283 8282 
8281 8282 8283 
421 8283 8261 
435 8284 8283 
423 8261 8284 
8283 8284 8261 
423 8284 8265 
435 8285 8284 
427 8265 8285 
8284 8285 8265 
288 8286 8212 
540 8287 8286 
287 8212 8287 
8286 8287 8212 
288 8238 8286 
399 8288 8238 
540 8286 8288 
8238 8288 8286 
356 8223 8290 
286 8289 8223 
541 8290 8289 
8223 8289 8290 
286 8291 8289 
542 8292 8291 
541 8289 8292 
8291 8292 8289 
286 8209 8291 
287 8293 8209 
542 8291 8293 
8209 8293 8291 
287 8287 8293 
540 8294 8287 
542 8293 8294 
8287 8294 8293 
294 8295 8218 
549 8296 8295 
293 8218 8296 
8295 8296 8218 
294 8222 8295 
356 8297 8222 
549 8295 8297 
8222 8297 8295 
549 8297 8299 
356 8298 8297 
552 8299 8298 
8297 8298 8299 
356 8290 8298 
541 8300 8290 
552 8298 8300 
8290 8300 8298 
681 8301 8302 
431 8276 8301 
432 8302 8276 
8301 8276 8302 
431 8303 8272 
682 8304 8303 
389 8272 8304 
8303 8304 8272 
407 8245 8305 
389 8304 8245 
682 8305 8304 
8245 8304 8305 
431 8301 8307 
681 8306 8301 
685 8307 8306 
8301 8306 8307 
682 8303 8308 
431 8307 8303 
685 8308 8307 
8303 8307 8308 
408 8248 8310 
407 8309 8248 
686 8310 8309 
8248 8309 8310 
682 8311 8305 
686 8309 8311 
407 8305 8309 
8311 8309 8305 
408 8312 8247 
687 8313 8312 
398 8247 8313 
8312 8313 8247 
552 8300 8315 
541 8314 8300 
698 8315 8314 
8300 8314 8315 
542 8294 8317 
540 8316 8294 
699 8317 8316 
8294 8316 8317 
400 8242 8319 
398 8318 8242 
704 8319 8318 
8242 8318 8319 
398 8313 8318 
687 8320 8313 
704 8318 8320 
8313 8320 8318 
540 8321 8316 
706 8322 8321 
699 8316 8322 
8321 8322 8316 
540 8288 8321 
399 8323 8288 
706 8321 8323 
8288 8323 8321 
399 8241 8323 
400 8324 8241 
706 8323 8324 
8241 8324 8323 
706 8324 8326 
400 8325 8324 
707 8326 8325 
8324 8325 8326 
400 8319 8325 
704 8327 8319 
707 8325 8327 
8319 8327 8325 
699 8322 8329 
706 8328 8322 
708 8329 8328 
8322 8328 8329 
706 8326 8328 
707 8330 8326 
708 8328 8330 
8326 8330 8328 
685 8331 8308 
715 8332 8331 
682 8308 8332 
8331 8332 8308 
686 8311 8333 
682 8332 8311 
715 8333 8332 
8311 8332 8333 
687 8312 8335 
408 8334 8312 
716 8335 8334 
8312 8334 8335 
