2742 7
0 440
1743 2268 1657 
1741 2269 1750 
1750 2269 2268 
1657 2273 1656 
1655 1656 2273 
1655 2273 1654 
2275 2127 1652 
1652 1653 2275 
1654 2275 1653 
2275 1654 2277 
2277 1654 2273 
2268 2280 1657 
2269 2282 2268 
2282 2281 2280 
2268 2282 2280 
2283 1657 2280 
1657 2283 2273 
2277 2273 2286 
2286 2273 2283 
1753 1861 2411 
1861 1860 2411 
2411 1860 2412 
2520 2168 1871 
1858 2168 2520 
2520 1860 1858 
2522 2412 1860 
2522 1860 2520 
2520 1871 2552 
2522 2520 2552 
2522 2552 2560 
2522 2560 2412 
2286 2740 2277 
2286 2741 2740 
2286 2283 2741 
2742 2280 2281 
2280 2742 2283 
2742 2741 2283 
2742 2281 2743 
2801 2802 2799 
2740 2799 2802 
2127 2802 2801 
2802 2277 2740 
2127 2275 2802 
2277 2802 2275 
2808 2127 2801 
2124 2121 2808 
2121 2127 2808 
2799 2740 3441 
2740 2741 3441 
3443 2742 2743 
3443 2741 2742 
3441 2741 3444 
3443 3444 2741 
3443 3447 3444 
3443 2743 3447 

1 440
137 134 131 
137 131 293 
296 140 134 
137 296 134 
137 293 299 
137 299 296 
140 313 310 
296 313 140 
313 296 544 
296 299 544 
549 299 293 
553 544 299 
552 554 549 
554 299 549 
553 299 554 
310 574 311 
313 574 310 
311 577 312 
574 577 311 
312 578 570 
577 578 312 
313 579 574 
544 579 313 
579 544 915 
553 915 544 
552 698 922 
554 552 922 
922 928 554 
553 554 928 
553 928 915 
698 923 939 
922 698 939 
570 963 568 
578 963 570 
568 964 955 
963 964 568 
574 970 577 
579 970 574 
578 972 963 
577 973 578 
973 972 578 
970 973 577 
928 974 915 
975 970 579 
579 915 975 
976 975 915 
976 915 974 
922 939 1389 
928 922 1389 
1389 974 928 
923 1120 1392 
939 923 1392 
939 1392 1408 
1389 939 1408 
955 1440 957 
964 1440 955 
957 1442 1438 
1442 957 1440 
964 1450 1440 
963 1451 964 
1451 1450 964 
972 1451 963 
1389 1408 1452 
974 1389 1452 
970 1455 973 
975 1455 970 
972 1457 1451 
973 1458 972 
1458 1457 972 
1455 1458 973 
1459 974 1452 
976 974 1459 
1460 1455 975 
976 1460 975 
976 1459 1460 
1392 1120 1535 
1120 1536 1535 
1392 1535 1984 
1408 1392 1984 
1408 1984 2000 
1452 1408 2000 
2037 2024 1439 
1438 2040 1439 
2037 1439 2040 
1442 2040 1438 
1440 2041 1442 
2041 1440 1450 
2042 2040 1442 
2042 1442 2041 
2051 2041 1450 
1450 1451 2052 
2051 1450 2052 
1457 2052 1451 
2053 1452 2000 
1452 2053 1459 
2055 2052 1457 
1455 2057 1458 
1460 2057 1455 
1458 2058 1457 
2055 1457 2058 
2057 2058 1458 
2057 1460 2059 
2053 2059 1459 
1459 2059 1460 
1984 1535 2116 
1536 2117 2118 
1535 1536 2118 
1535 2118 2116 
2117 2124 2128 
2118 2117 2128 
1984 2116 2662 
2000 1984 2662 
2118 2128 2669 
2116 2118 2669 
2685 2000 2662 
2000 2685 2053 
2037 2707 2024 
2037 2714 2707 
2037 2040 2714 
2714 2040 2718 
2042 2718 2040 
2042 2041 2719 
2051 2719 2041 
2042 2719 2718 
2051 2052 2729 
2051 2729 2719 
2730 2052 2055 
2729 2052 2730 
2732 2730 2055 
2733 2053 2685 
2053 2733 2059 
2058 2734 2055 
2732 2055 2734 
2057 2735 2058 
2734 2058 2735 
2735 2057 2059 
2736 2735 2059 
2736 2059 2733 
2116 2669 2739 
2662 2116 2739 
2124 2808 2813 
2128 2124 2813 
2128 2813 2820 
2669 2128 2820 
2808 2801 2822 
2813 2808 2822 
2813 2822 2823 
2820 2813 2823 
2662 2739 3363 
2662 3363 2685 
2669 2820 3368 
2739 2669 3368 
2820 2823 3370 
3368 2820 3370 
3363 3387 2685 
2685 3387 2733 
2714 3405 2707 
2714 3413 3405 
2718 3413 2714 
2718 3417 3413 
3417 2718 2719 
3417 2719 3418 
3418 2719 2729 
2729 3427 3418 
2730 3427 2729 
2730 3428 3427 
2732 3428 2730 
2732 2734 3432 
2732 3432 3428 
3434 2733 3387 
