199	2
0.0154943	40087.4	
0.00749656	40029.7	
0.00688599	39977.3	
0.00748725	39936.8	
0.00763014	39931.5	
0.00758404	39934.2	
0.00759463	39935	
0.00757046	39936.8	
0.00755571	39939.8	
0.00752717	39943.3	
0.00752782	39947.8	
0.00752472	39952.3	
0.00755706	39956.9	
0.00759101	39963.3	
0.00769651	39970.5	
0.00783185	39978.3	
0.00800091	39986.2	
0.00819897	39992.5	
0.00839203	39998.9	
0.0085917	40004.1	
0.00877655	40008.8	
0.00897432	40013.5	
0.0090768	40017	
0.00920142	40020.2	
0.00928516	40022.4	
0.00941686	40025.3	
0.0095795	40028.2	
0.00967014	40030.8	
0.009659	40031.7	
0.00982008	40034	
0.00988897	40036	
0.00996452	40037.5	
0.0100219	40039	
0.0100605	40040	
0.0101037	40041.6	
0.0101359	40042.3	
0.0102035	40043.4	
0.0102164	40044	
0.0102583	40045	
0.0103056	40045.7	
0.0103339	40046.5	
0.0103499	40047	
0.0103677	40047.5	
0.0103946	40047.8	
0.0104186	40048.6	
0.0104308	40048.9	
0.0104485	40049.1	
0.0104717	40049.4	
0.0104854	40050.1	
0.010495	40050.4	
0.010521	40050.5	
0.0105442	40051.1	
0.0105449	40051.3	
0.0105721	40051.6	
0.0105717	40051.7	
0.0106003	40052.3	
0.0106076	40052.6	
0.0105915	40052.3	
0.0106306	40053	
0.0106456	40053.1	
0.0106538	40053.1	
0.010667	40053.6	
0.0106693	40053.6	
0.0106629	40053.6	
0.0106842	40053.8	
0.0107072	40054.4	
0.0107026	40054.1	
0.0107063	40054.4	
0.0107198	40054.6	
0.0107215	40054.2	
0.0107458	40055.1	
0.010752	40054.9	
0.0107557	40054.9	
0.0107692	40055.2	
0.0107647	40055.4	
0.010781	40055.6	
0.0107996	40055.7	
0.0108033	40056	
0.0108045	40055.9	
0.0107903	40056	
0.010826	40056.4	
0.0108099	40056.1	
0.0108357	40056.4	
0.0108478	40056.7	
0.0108452	40056.6	
0.0108479	40056.6	
0.0108621	40057.1	
0.0108846	40057.5	
0.0109454	40057.7	
0.0108987	40057.6	
0.0108855	40057.4	
0.0109167	40058.1	
0.0109796	40058.6	
0.0109242	40058.2	
0.0109257	40057.9	
0.0110007	40058.5	
0.0109434	40058.6	
0.0109427	40058.8	
0.0109479	40058.5	
0.0109385	40058.2	
0.0110278	40059.2	
0.0110331	40059.6	
0.011034	40059.6	
0.0109763	40059	
0.0109567	40058.8	
0.0109798	40059.1	
0.0110026	40059.5	
0.0110683	40060.2	
0.011069	40059.8	
0.0110009	40059.7	
0.0110111	40059.7	
0.0110833	40060	
0.0110086	40059.4	
0.0110907	40060	
0.0110373	40060.2	
0.0111087	40060.8	
0.011074	40060.1	
0.0110408	40060.4	
0.0111168	40060.7	
0.0111241	40061.2	
0.0110267	40060	
0.011125	40060.9	
0.011128	40060.9	
0.0111371	40061.1	
0.0111356	40061.1	
0.0111523	40061.1	
0.0111414	40061.2	
0.0110669	40060.4	
0.0110631	40060.7	
0.0110603	40060.4	
0.0111538	40061.4	
0.0111592	40061.2	
0.0111424	40061.3	
0.0111566	40061.6	
0.0110857	40060.7	
0.0111659	40061.5	
0.0111763	40061.8	
0.0111268	40061.2	
0.0111655	40061.9	
0.011141	40061.4	
0.0110938	40061.1	
0.0111734	40061.6	
0.0111788	40062.3	
0.0111443	40061.4	
0.011091	40061.1	
0.0110985	40061	
0.0110933	40061.3	
0.0110818	40060.5	
0.0111808	40061.8	
0.0110882	40061	
0.0111827	40061.8	
0.0111103	40061.1	
0.0111948	40061.9	
0.011194	40062.1	
0.0111863	40061.9	
0.0111077	40061.2	
0.011118	40061.7	
0.0110977	40061.1	
0.0111955	40062	
0.0111996	40062.4	
0.0111061	40061.1	
0.0111131	40061.6	
0.0111676	40062	
0.0111961	40062.4	
0.01121	40062.5	
0.0111983	40062.4	
0.0112013	40062	
0.0112173	40062.3	
0.0111252	40061.8	
0.0110922	40061.2	
0.0111991	40062.4	
0.0112033	40062.2	
0.0111223	40061.7	
0.0111209	40061.4	
0.0111274	40061.8	
0.0111224	40061.6	
0.0111117	40061.3	
0.0111942	40062.2	
0.0111113	40061.3	
0.0111031	40061.4	
0.0112038	40062.5	
0.0111137	40061.6	
0.0111168	40061.7	
0.011107	40061.1	
0.0111038	40061.1	
0.0111055	40061.2	
0.011107	40061.3	
0.0110982	40061.2	
0.0111067	40061.5	
0.0111116	40061.4	
0.0111066	40061.5	
0.0111063	40061.2	
0.0110968	40061.1	
0.0111608	40061.8	
0.0111672	40061.4	
0.0111841	40061.9	
0.0111082	40061.5	
0.0110987	40060.9	
0.0110861	40061.1	
