50	4
0	12.8153	22.557	70.374	
0	22.4768	39.5763	1910.83	
0	34.9573	48.2733	3001.9	
0	46.5436	54.587	3828.49	
0	57.3309	59.7255	4512.01	
0	67.45	64.1415	5103.43	
0	77.0054	68.0583	5629.58	
0	86.0772	71.6044	6106.47	
0	94.7271	74.8608	6544.53	
0	103.004	77.883	6951	
0	110.949	80.7104	7331.1	
0	118.592	83.3725	7688.81	
0	125.963	85.8918	8027.16	
0	133.084	88.2864	8348.58	
0	139.975	90.5704	8655.02	
0	146.652	92.7555	8948.1	
0	153.132	94.8516	9229.13	
0	159.427	96.8668	9499.26	
0	165.548	98.8081	9759.44	
0	171.507	100.682	10010.5	
0	177.314	102.493	10253.2	
0	182.975	104.246	10488.1	
0	188.499	105.945	10715.8	
0	193.893	107.593	10936.8	
0	199.164	109.195	11151.4	
0	204.317	110.752	11360.2	
0	209.358	112.268	11563.5	
0	214.292	113.744	11761.5	
0	219.123	115.183	11954.6	
0	223.855	116.587	12143.1	
0	228.494	117.957	12327.1	
0	233.041	119.295	12506.9	
0	237.502	120.603	12682.6	
0	241.878	121.882	12854.6	
0	246.174	123.133	13022.9	
0	250.392	124.358	13187.8	
0	254.534	125.557	13349.2	
0	258.604	126.732	13507.5	
0	262.603	127.884	13662.8	
0	266.534	129.012	13815	
0	270.4	130.12	13964.4	
0	274.202	131.206	14111.1	
0	277.941	132.272	14255.2	
0	281.621	133.319	14396.7	
0	285.242	134.347	14535.8	
0	288.807	135.357	14672.5	
0	292.317	136.349	14806.9	
0	295.773	137.324	14939.1	
0	299.177	138.283	15069.1	
0	302.531	139.226	15197.1	
