300	2
0.0104319	143.81	
0.00879895	152.532	
0.00783042	164.737	
0.00724133	186.198	
0.00740017	194.224	
0.00755391	180.334	
0.00748902	170.891	
0.00741072	163.56	
0.0073709	158.665	
0.00734917	153.757	
0.00732151	149.827	
0.00731049	148.704	
0.0072961	147.843	
0.00728949	147.865	
0.0072832	148.056	
0.00727855	148.295	
0.00727007	148.269	
0.00726461	148.107	
0.00724942	147.629	
0.00711205	160.646	
0.00725307	148.426	
0.00725142	148.598	
0.00724922	148.737	
0.00723831	148.595	
0.00724031	148.667	
0.00723498	148.689	
0.00723011	148.728	
0.00706648	159.953	
0.00704862	159.122	
0.00721983	149.038	
0.00704859	159.746	
0.00720375	148.521	
0.00719882	148.794	
0.00702833	168.266	
0.00719101	148.893	
0.0071871	148.578	
0.00719184	148.949	
0.0070329	160.496	
0.00702225	159.853	
0.00718339	149.206	
0.00702022	169.326	
0.00717881	149.384	
0.00717132	149.071	
0.00702999	161.177	
0.00700301	160.172	
0.00699022	159.523	
0.0071641	149.462	
0.00700724	160.268	
0.00716818	150.197	
0.00714909	149.026	
0.00699296	169.413	
0.00716635	150.526	
0.00697015	159.953	
0.00715362	150.121	
0.00715437	150.232	
0.00715545	150.172	
0.00715565	150.355	
0.00698706	170.034	
0.00714595	150.303	
0.00714544	150.231	
0.00714234	149.963	
0.00722075	150.089	
0.00714238	149.931	
0.00714806	150.304	
0.0071565	151.139	
0.0071413	150.362	
0.00714441	150.379	
0.00696594	160.471	
0.00713928	150.345	
0.00713922	150.383	
0.00713867	150.378	
0.00713659	150.185	
0.00714127	150.657	
0.00713874	150.688	
0.00714216	150.998	
0.00712881	150.271	
0.00713642	150.816	
0.00713281	150.524	
0.00713411	150.563	
0.00712672	150.247	
0.00713896	150.908	
0.00713744	150.772	
0.00712806	150.398	
0.00713346	150.931	
0.00712591	150.406	
0.00713189	150.92	
0.00713598	151.295	
0.007137	151.313	
0.00712952	150.686	
0.00712623	150.663	
0.00713695	151.144	
0.00713282	151.013	
0.00713077	150.93	
0.0071321	151.024	
0.00713247	151.06	
0.00713556	151.668	
0.00713059	150.995	
0.00712525	150.745	
0.00711879	150.284	
0.00712539	150.74	
0.00712404	150.961	
0.00713008	151.386	
0.00713428	151.41	
0.00711503	150.388	
0.00720142	150.892	
0.00712416	151.054	
0.00712859	151.356	
0.00712506	151.161	
0.00713393	151.703	
0.00712882	151.625	
0.00712134	150.996	
0.00712585	151.375	
0.00711084	150.46	
0.00712034	150.993	
0.00713343	151.72	
0.0071156	151.019	
0.00712506	151.445	
0.00712653	151.574	
0.00711995	151.258	
0.00712306	151.434	
0.00711749	150.942	
0.00712696	151.64	
0.0071263	151.905	
0.00712487	151.657	
0.00712371	151.315	
0.00712245	151.462	
0.00712116	151.143	
0.00713055	151.889	
0.00711931	151.429	
0.00712197	151.255	
0.00712233	151.286	
0.00712674	151.699	
0.00712543	152.071	
0.00712099	151.44	
0.00712126	151.647	
0.007112	151	
0.00711898	151.529	
0.00711473	151.542	
0.00711528	151.409	
0.0069429	170.668	
0.00712803	152.165	
0.00710126	150.49	
0.00712277	151.716	
0.00711791	151.598	
0.00712655	152.062	
0.00711095	151.034	
0.00711419	151.369	
0.00711524	151.458	
0.00711539	151.614	
0.00711404	151.317	
0.00711714	151.694	
0.00711998	151.918	
0.00711796	151.912	
0.00711247	151.957	
0.00711109	151.756	
0.00711155	151.452	
0.00711418	151.856	
0.00711443	152.028	
0.00710463	151.363	
0.0071177	152.139	
0.00711176	151.707	
0.00711979	152.18	
0.00711641	152.115	
0.00712142	152.382	
0.00711123	151.935	
0.00710792	151.717	
0.00710924	151.844	
0.00710316	151.264	
0.00711099	152.27	
0.00710865	151.723	
0.00709263	150.866	
0.00710662	151.464	
0.00712152	152.736	
0.00710818	151.704	
0.00711879	152.525	
0.00711155	152.142	
0.0071092	152.182	
0.00710993	151.929	
0.00710557	151.707	
0.00711391	152.62	
0.00711285	151.943	
0.00710541	151.68	
0.00711201	152.386	
0.0071065	151.977	
0.00711078	152.058	
0.00710992	152.163	
0.00709248	150.924	
0.00711812	152.631	
0.00710665	152.104	
0.00693202	162.014	
0.00710781	152.182	
0.00710635	151.802	
0.00710246	152.119	
0.00710542	151.973	
0.00711046	151.983	
0.00710289	151.755	
0.00709516	151.392	
0.00710802	152.049	
0.00708658	151.132	
0.0071093	152.102	
0.0071052	151.852	
0.00711031	152.198	
0.00711072	152.065	
0.00711211	152.406	
0.00710155	151.641	
0.00709439	151.249	
0.00710586	151.631	
0.00709846	151.565	
0.00710314	151.754	
0.00710292	152.051	
0.00709332	151.28	
0.00708935	151.227	
0.00694018	162.528	
0.00710228	151.95	
0.00711289	152.401	
0.00711136	152.95	
0.00710191	152.059	
0.00711102	152.652	
0.00710193	151.99	
0.00710333	152.318	
0.00711196	152.596	
0.00710403	152.172	
0.00710033	152.076	
0.00710186	152.251	
0.00710046	151.979	
0.00711809	152.743	
0.00710043	151.918	
0.00709966	152.072	
0.00709376	151.632	
0.00709258	151.813	
0.00711555	152.98	
0.00709721	151.789	
0.00710551	152.48	
0.00711008	152.54	
0.00710357	152.229	
0.00710358	152.072	
0.00710243	152.086	
0.00710696	152.446	
0.00710161	151.865	
0.00709744	152.106	
0.00709562	151.76	
0.00711056	152.687	
0.00710342	152.569	
0.00709626	151.829	
0.00709338	151.803	
0.0070964	152	
0.00710029	152.283	
0.00709285	151.844	
0.00710717	152.438	
0.00709542	152.115	
0.00709589	151.953	
0.00709242	151.844	
0.00708947	151.605	
0.00710329	152.43	
0.00709885	151.975	
0.00710739	152.578	
0.00709332	152.12	
0.00709897	152.074	
0.00710332	152.279	
0.00718449	152.932	
0.00710046	152.135	
0.00710892	152.603	
0.0070987	152.077	
0.0070989	152.307	
0.00709986	152.233	
0.00709565	152.054	
0.00709592	152.21	
0.00708709	152.037	
0.00708553	151.463	
0.00710086	152.131	
0.00717647	152.369	
0.0070986	152.165	
0.00709283	151.819	
0.00709993	152.373	
0.00709412	152.216	
0.00717283	152.333	
0.00709075	152.025	
0.00709194	151.954	
0.00709621	152.369	
0.00709782	152.521	
0.00709013	151.893	
0.00708622	151.705	
0.0071015	152.556	
0.00710547	152.74	
0.00708997	152.076	
0.00709177	152.295	
0.00708857	152.349	
0.00709221	152.404	
0.00709567	152.367	
0.00708257	151.978	
0.00708869	152.384	
0.00709018	152.399	
0.00708607	151.933	
0.00709223	152.792	
0.00708977	152.173	
0.00708786	152.044	
0.00710215	153.111	
0.00709425	152.512	
0.0070847	152.153	
0.00707569	151.515	
