60	2
0.013266	9591.23	
0.0110887	9588.8	
0.00952453	9587.32	
0.0092715	9586.95	
0.00951584	9587.12	
0.00967507	9587.24	
0.00980731	9587.34	
0.00993306	9587.44	
0.0100556	9587.56	
0.0101578	9587.65	
0.0102541	9587.73	
0.0103302	9587.81	
0.0103972	9587.87	
0.0104565	9587.95	
0.010509	9587.98	
0.0105518	9588.03	
0.0105868	9588.07	
0.0106216	9588.12	
0.0106474	9588.17	
0.0106652	9588.17	
0.010683	9588.19	
0.0106982	9588.21	
0.0107063	9588.22	
0.0107164	9588.24	
0.0107259	9588.25	
0.0107279	9588.23	
0.0107326	9588.25	
0.0107331	9588.24	
0.0107359	9588.24	
0.0107375	9588.25	
0.0107391	9588.24	
0.0107351	9588.25	
0.0107324	9588.24	
0.010732	9588.26	
0.0107347	9588.23	
0.0107321	9588.25	
0.010732	9588.24	
0.0107311	9588.24	
0.0107287	9588.24	
0.0107289	9588.23	
0.0107287	9588.24	
0.0107308	9588.24	
0.0107258	9588.24	
0.0107266	9588.22	
0.0107241	9588.24	
0.010724	9588.24	
0.0107237	9588.23	
0.0107234	9588.23	
0.0107242	9588.23	
0.0107226	9588.23	
0.010721	9588.23	
0.0107197	9588.22	
0.0107224	9588.23	
0.0107198	9588.23	
0.01072	9588.24	
0.01072	9588.22	
0.0107192	9588.22	
0.0107183	9588.22	
0.0107214	9588.22	
0.0107163	9588.22	
